,역사_ID,역사명,호선,위도,경도,주소
82,4406,보라매병원,신림선,37.4929598,126.9234964,"집밥, 23, 보라매로5길, 신대방동, 신대방2동, 동작구, 서울특별시, 07071, 대한민국"
83,4405,보라매공원,신림선,37.4955691,126.9180827,"여의대방로20길, 신대방동, 신대방2동, 동작구, 서울특별시, 07062, 대한민국"
84,4404,보라매,신림선,37.5002739,126.9204355,"보라매, 여의대방로, 대방동, 동작구, 서울특별시, 07391, 대한민국"
85,4403,서울지방병무청,신림선,37.5060464,126.9227083,"신길7동, 영등포구, 서울특별시, 07360, 대한민국"
86,4402,대방,신림선,37.5133059,126.9257265,"2, 대방지하차도, 대방동, 동작구, 서울특별시, 07354, 대한민국"
87,4401,샛강,신림선,37.5170969,126.929399,"여의동로, 여의동, 영등포구, 서울특별시, 07343, 대한민국"
88,4319,광교(경기대),신분당선(연장),37.30211,127.044483,"광교, 55, 대학로, 이의동, 영통구, 수원시, 16226, 대한민국"
89,4318,광교중앙(아주대),신분당선(연장),37.288617,127.051478,"광교중앙.경기도청.아주대역환승센터(지하1층), 도청로, 영통구, 수원시, 16508, 대한민국"
90,4317,상현,신분당선(연장),37.297664,127.069342,"신명프라자, 310, 광교중앙로, 상현동, 신봉동, 수지구, 용인시, 경기도, 16944, 대한민국"
91,4316,성복,신분당선(연장),37.313335,127.0801,"수지로, 신봉동, 수지구, 용인시, 16858, 대한민국"
92,4315,수지구청,신분당선(연장),37.322702,127.095026,"118, 풍덕천로, 풍덕천동, 신봉동, 수지구, 용인시, 16841, 대한민국"
93,4314,동천,신분당선(연장),37.337928,127.102976,"동천, 신수로, 신봉동, 수지구, 용인시, 경기도, 16865, 대한민국"
94,4313,미금,신분당선(연장),37.349982,127.108918,"미금, 돌마로, 분당구, 성남시, 경기도, 13630, 대한민국"
95,4312,정자,신분당선,37.367098,127.108403,"정자역 6번출구, 탄천 자전거도로, 백현동, 분당, 분당구, 성남시, 경기도, 13555, 대한민국"
96,4311,판교,신분당선,37.394761,127.112217,"크래프톤타워, 117, 분당내곡로, 백현동, 판교, 분당구, 성남시, 경기도, 13529, 대한민국"
97,4310,청계산입구,신분당선,37.447211,127.055664,"청계산, 203,, 청계산로, 내곡동, 양재2동, 서초구, 서울특별시, 06794, 대한민국"
98,4309,양재시민의숲(매헌),신분당선,37.470023,127.03842,"양재시민의숲, 강남대로, 양재동, 양재2동, 서초구, 서울특별시, 06779, 대한민국"
99,4308,양재(서초구청),신분당선,37.483809,127.034653,"양재, 강남대로, 양재1동, 서초구, 서울특별시, 06267, 대한민국"
100,4307,강남,신분당선,37.496837,127.028104,"두산베어스텔오피스텔, 381, 강남대로, 서초2동, 서초구, 서울특별시, 06620, 대한민국"
101,4306,신논현,신분당선(연장2),37.504598,127.02506,"808김밥, 106, 봉은사로, 역삼1동, 강남구, 서울특별시, 06121, 대한민국"
102,4305,논현,신분당선(연장2),37.511093,127.021415,"강남대로, 논현1동, 강남구, 서울특별시, 06044, 대한민국"
103,4304,신사,신분당선(연장2),37.516334,127.020114,"도산대로, 논현동, 신사동, 강남구, 서울특별시, 06040, 대한민국"
104,4217,영종,공항철도1호선,37.51202,126.524254,"영종역 1번출구, 인천국제공항고속도로, 운북동, 영종동, 중구, 인천광역시, 22372, 대한민국"
105,4215,인천공항2터미널,공항철도1호선,37.460699,126.441442,"인천국제공항, 272, 공항로, 운서동, 중구, 인천광역시, 22379, 대한민국"
106,4213,인천공항1터미널,공항철도1호선,37.447464,126.452508,"인천국제공항 제1여객터미널 교통센터, 271, 공항로, 운서동, 중구, 인천광역시, 22382, 대한민국"
107,4212,공항화물청사,공항철도1호선,37.459041,126.477516,"공항화물청사, 공항동로135번길, 운서동, 중구, 인천광역시, 22379, 대한민국"
108,4211,운서,공항철도1호선,37.492904,126.49379,"2, 인천국제공항고속도로, 운서동, 중구, 인천광역시, 22371, 대한민국"
109,4210,청라국제도시,공항철도1호선,37.556409,126.624648,"2, 인천국제공항고속도로, 청라3동, 서구, 인천광역시, 22689, 대한민국"
110,4209,검암,공항철도1호선,37.569098,126.674007,"1, 서곶로, 검암동, 검암경서동, 서구, 인천광역시, 22694, 대한민국"
111,4208,계양,공항철도1호선,37.571662,126.7363,"24, 다남로, 귤현동, 계양1동, 계양구, 인천광역시, 21015, 대한민국"
112,4207,김포공항,공항철도1호선,37.561842,126.801904,"김포공항, 하늘길, 방화2동, 강서구, 서울특별시, 07612, 대한민국"
